Unnamed: 0,smi,chg,coord_no,memo
LAYQUY_ligands1.mol2,c1ccnc(c1)c2cc[nH]n2,0,2,
LAYRAF_ligands1.mol2,c1ccnc(c1)c2[nH]ccn2,0,2,
LAYRAF_ligands0.mol2,C(=[N-])=S,-1,1,
LOQPAI_ligands1.mol2,c1ccc2c(c1)nc(c(n2)c3ccccn3)c4ccccn4,0,2,
LOQPAI_ligands0.mol2,C(=[N-])=S,-1,1,
QAHVIE_ligands1.mol2,c1ccnc(c1)c2nnc(n2N)c3ccccn3,0,2,
QAHVIE_ligands0.mol2,C(=[N-])=S,-1,1,
QAHVOK_ligands1.mol2,c1ccnc(c1)c2nnc(n2N)c3ccccn3,0,2,
QAHVOK_ligands0.mol2,C(=[N-])=[Se],-1,1,
ZUCROE01_ligands0.mol2,c1ccnc(c1)c2nnc(n2N)c3ccccn3,0,2,
ZUCROE01_ligands1.mol2,c1cc(=C(C#N)C#N)ccc1=C(C#N)C#N,-1,1,アニオンラジカルなのでSMILES表現むずし
ZUCROE_ligands1.mol2,c1cc(=C(C#N)C#N)ccc1=C(C#N)C#N,-1,1,アニオンラジカルなのでSMILES表現むずし
ZUCROE_ligands0.mol2,c1ccnc(c1)c2nnc(n2N)c3ccccn3,0,2,
FADVUC_ligands0.mol2,C(=[N-])=S,-1,1,
FADVUC_ligands1.mol2,Cc1ccc(cc1)n2c(nnc2c3ccccn3)c4ccccn4,0,2,
GAKKOS03_ligands1.mol2,C(=[N-])=S,-1,1,
GAKKOS03_ligands0.mol2,C1CSC(=N1)C2=NCCS2,0,2,
GAKKOS05_ligands0.mol2,C1CSC(=N1)C2=NCCS2,0,2,
GAKKOS05_ligands1.mol2,C(=[N-])=S,-1,1,
GAKKOS04_ligands0.mol2,C1CSC(=N1)C2=NCCS2,0,2,
GAKKOS04_ligands1.mol2,C(=[N-])=S,-1,1,
PASGOF_ligands1.mol2,C(=[N-])=S,-1,1,
