ccdc_id,coord_no_1,coord_no_2,coord_no_3,coord_no_4,coord_no_5,coord_no_6
QIDJIX,0.0,0.0,2.0,0.0,0.0,0.0
QIDJOD,0.0,0.0,2.0,0.0,0.0,0.0
QIDJUJ,0.0,0.0,2.0,0.0,0.0,0.0
QIDKAQ,0.0,0.0,2.0,0.0,0.0,0.0
QIDKEU,0.0,0.0,2.0,0.0,0.0,0.0
QIDKIY,0.0,0.0,2.0,0.0,0.0,0.0
QIDKOE,0.0,0.0,2.0,0.0,0.0,0.0
QIDKUK,0.0,0.0,2.0,0.0,0.0,0.0
QIDLAR,0.0,0.0,2.0,0.0,0.0,0.0
QIDLEV,0.0,0.0,2.0,0.0,0.0,0.0
QIDLIZ,0.0,0.0,2.0,0.0,0.0,0.0
QIDLOF,0.0,0.0,2.0,0.0,0.0,0.0
QIDLUL,0.0,0.0,2.0,0.0,0.0,0.0
QIDLUL01,0.0,0.0,2.0,0.0,0.0,0.0
QOMDAY,2.0,0.0,0.0,1.0,0.0,0.0
QOMDAY01,2.0,0.0,0.0,1.0,0.0,0.0
QOMDAY02,2.0,0.0,0.0,1.0,0.0,0.0
QOSVOJ,0.0,0.0,0.0,0.0,0.0,1.0
QOZNOL,0.0,0.0,2.0,0.0,0.0,0.0
QUHWAT,2.0,0.0,0.0,1.0,0.0,0.0
QUHWAT01,2.0,0.0,0.0,1.0,0.0,0.0
QUHWAT02,2.0,0.0,0.0,1.0,0.0,0.0
QUNYAA,2.0,2.0,0.0,0.0,0.0,0.0
QUNYEE,2.0,2.0,0.0,0.0,0.0,0.0
QUNYEE01,2.0,2.0,0.0,0.0,0.0,0.0
RAKZIM,6.0,0.0,0.0,0.0,0.0,0.0
RAKZIM01,6.0,0.0,0.0,0.0,0.0,0.0
RESWES,0.0,0.0,2.0,0.0,0.0,0.0
RESWIW,0.0,0.0,2.0,0.0,0.0,0.0
RESWIW01,0.0,0.0,2.0,0.0,0.0,0.0
REWPOZ,0.0,0.0,2.0,0.0,0.0,0.0
REWPUF,0.0,0.0,2.0,0.0,0.0,0.0
REWPUF02,0.0,0.0,2.0,0.0,0.0,0.0
RIZSOI,0.0,0.0,2.0,0.0,0.0,0.0
RONPIT26,2.0,2.0,0.0,0.0,0.0,0.0
RONPIT34,2.0,2.0,0.0,0.0,0.0,0.0
RONPIT39,2.0,2.0,0.0,0.0,0.0,0.0
RONPIT41,2.0,2.0,0.0,0.0,0.0,0.0
RUCJEF,0.0,0.0,2.0,0.0,0.0,0.0
SIXJUE,0.0,3.0,0.0,0.0,0.0,0.0
SOJKUY,0.0,0.0,2.0,0.0,0.0,0.0
TEKHAU,2.0,0.0,0.0,1.0,0.0,0.0
TEKHEY,2.0,0.0,0.0,1.0,0.0,0.0
TEKHIC,2.0,0.0,0.0,1.0,0.0,0.0
TEKHOI,2.0,0.0,0.0,1.0,0.0,0.0
TEKHUO,2.0,0.0,0.0,1.0,0.0,0.0
TESLUY,0.0,0.0,2.0,0.0,0.0,0.0
TESMAF,0.0,0.0,2.0,0.0,0.0,0.0
TETXAR,0.0,0.0,2.0,0.0,0.0,0.0
TIHTAF,0.0,1.0,0.0,1.0,0.0,0.0
TIHTAF01,0.0,1.0,0.0,1.0,0.0,0.0
TISWIC,4.0,1.0,0.0,0.0,0.0,0.0
TISWIC01,4.0,1.0,0.0,0.0,0.0,0.0
TULHEQ,0.0,0.0,2.0,0.0,0.0,0.0
TULHIU,0.0,0.0,2.0,0.0,0.0,0.0
TUNBIN,6.0,0.0,0.0,0.0,0.0,0.0
UCIGUJ,0.0,0.0,2.0,0.0,0.0,0.0
UFIPIJ,2.0,2.0,0.0,0.0,0.0,0.0
UFIPIJ01,2.0,2.0,0.0,0.0,0.0,0.0
UJEDOC,0.0,0.0,2.0,0.0,0.0,0.0
UJEDOC01,0.0,0.0,2.0,0.0,0.0,0.0
ULAHIY,6.0,0.0,0.0,0.0,0.0,0.0
ULODIJ,0.0,0.0,0.0,0.0,0.0,1.0
ULODIJ01,0.0,0.0,0.0,0.0,0.0,1.0
ULODUV,0.0,0.0,0.0,0.0,0.0,1.0
ULOFAD,0.0,0.0,0.0,0.0,0.0,1.0
ULOFEH,0.0,0.0,0.0,0.0,0.0,1.0
UZAXUQ,2.0,2.0,0.0,0.0,0.0,0.0
UZELAN,2.0,0.0,0.0,1.0,0.0,0.0
VASYOF,2.0,0.0,0.0,1.0,0.0,0.0
VASYUL,2.0,0.0,0.0,1.0,0.0,0.0
VASYUL01,2.0,0.0,0.0,1.0,0.0,0.0
VASZEW,2.0,0.0,0.0,1.0,0.0,0.0
VASZEW01,2.0,0.0,0.0,1.0,0.0,0.0
VEVQOE,0.0,0.0,2.0,0.0,0.0,0.0
VEWVEY,0.0,3.0,0.0,0.0,0.0,0.0
VEYTEY,0.0,3.0,0.0,0.0,0.0,0.0
VEYTIC,0.0,3.0,0.0,0.0,0.0,0.0
VIFNAC,6.0,0.0,0.0,0.0,0.0,0.0
VIFNAC01,6.0,0.0,0.0,0.0,0.0,0.0
VILZAT,0.0,0.0,2.0,0.0,0.0,0.0
VILZEX,0.0,0.0,2.0,0.0,0.0,0.0
VILZOH,0.0,0.0,2.0,0.0,0.0,0.0
VIMBAW,0.0,0.0,2.0,0.0,0.0,0.0
VISCAD,0.0,0.0,2.0,0.0,0.0,0.0
VOJPAM,6.0,0.0,0.0,0.0,0.0,0.0
VUJRIC,0.0,0.0,2.0,0.0,0.0,0.0
WAHKEX,2.0,0.0,0.0,1.0,0.0,0.0
WAHKEX01,2.0,0.0,0.0,1.0,0.0,0.0
WATJEJ,2.0,2.0,0.0,0.0,0.0,0.0
WATJEJ01,2.0,2.0,0.0,0.0,0.0,0.0
WEKJED,0.0,0.0,2.0,0.0,0.0,0.0
WEKJIH,0.0,0.0,2.0,0.0,0.0,0.0
WIDGEW,2.0,0.0,0.0,1.0,0.0,0.0
WIDGIA,2.0,0.0,0.0,1.0,0.0,0.0
WIDGOG,2.0,0.0,0.0,1.0,0.0,0.0
WIFZUG,6.0,0.0,0.0,0.0,0.0,0.0
WIGBAP,6.0,0.0,0.0,0.0,0.0,0.0
XADFEN,0.0,0.0,2.0,0.0,0.0,0.0
XAMNII,0.0,0.0,2.0,0.0,0.0,0.0
XAMNII01,0.0,0.0,2.0,0.0,0.0,0.0
XECMIB01,2.0,2.0,0.0,0.0,0.0,0.0
XECMIB02,2.0,2.0,0.0,0.0,0.0,0.0
XECNAU,2.0,2.0,0.0,0.0,0.0,0.0
XECNAU01,2.0,2.0,0.0,0.0,0.0,0.0
XEFDER02,0.0,0.0,2.0,0.0,0.0,0.0
XEFDER06,0.0,0.0,2.0,0.0,0.0,0.0
