ccdc_id,csd_density,csd_packing_coefficient,csd_void_percent,csd_hbonds_inter_count,csd_contacts_inter_total,csd_contacts_under_cutoff,csd_min_contact_distance
MALJEP,1.806480438532861,0.7203133405056482,0.0,0,10,8,2.2307981121224016
MALJIT,1.6872194462873238,0.728584546766365,0.0,0,5,5,2.3994538912651784
MALJIT01,1.6126585881709896,0.7055681133212779,0.0,0,5,5,2.8812751644870995
MALJIT03,1.7160978158900837,0.7243493819128172,0.0,0,13,12,2.34658492165978
MALJOZ,1.5506809748399928,0.7173654186973859,0.0,0,12,10,2.204065612228872
MALJOZ01,1.6012050954757548,0.7315496575342466,0.0,0,16,14,2.178599048255871
MEGDEH,1.554310398345273,0.720931929423292,0.0,0,44,44,2.308403113158496
MELLOF02,1.4887755353025154,0.7394172300888718,0.0,0,24,24,2.096540640222458
MELLOF01,1.573132222356275,0.7584138084138085,0.0,0,36,36,2.108225859624492
MELLOF,1.5824544543915715,0.7470366621682412,0.0,0,41,41,2.316606164286328
MEQXIS01,1.3957989167773486,0.738218336483932,0.0,0,13,12,2.3595925617078013
MEQXIS,1.6939684968042723,0.7405903697165833,0.0,0,38,33,2.343045116755331
MEQVEM02,1.5898647836246818,0.7104531501610306,0.0,0,20,18,2.4157285328383664
MEQVEM,1.6720045186649026,0.73991355099175,0.0,0,31,30,2.4034647532075284
OCEVEA01,2.272632153688047,0.7310007483353634,1.2482725470167635,0,50,31,2.9209491069109084
OCEVEA,2.3832804679876167,0.7607352936975234,0.7983441750443524,0,64,44,2.777964924109662
MIFRIF,1.6012994886671137,0.7509352787130565,0.0,2,10,10,2.640284424300273
MIFROL01,1.815278367281576,0.7064255625803288,0.0,0,6,6,2.7465232352576168
