ccdc_id,The zeta parameter,The delta parameter,The sigma parameter,The theta parameter,Mean M-L BL 
QIDKEU,0.221923,0.000384,100.703702,335.989276,2.007027
QIDKIY,0.216445,0.000409,89.556778,287.762741,1.959233
QIDKOE,0.229616,0.000479,87.146612,292.353406,1.959165
QIDKUK,0.241758,0.000540,88.806821,296.860218,1.958307
QIDLAR,0.206373,0.000424,90.026617,279.562564,1.947484
QIDLEV,0.200115,0.000402,89.487959,277.802909,1.945291
QIDLIZ,0.213155,0.000414,89.561566,283.809722,1.952594
QIDLOF,0.201998,0.000410,89.807600,284.137647,1.950349
QIDLUL,0.226513,0.000393,138.883683,454.468428,2.143074
QIDLUL01,0.242026,0.000460,117.871076,390.808981,2.068410
QOMDAY,0.032151,0.000007,96.899211,411.596384,2.142888
QOMDAY01,0.078705,0.000063,75.976777,295.321096,2.045476
QOMDAY02,0.115950,0.000114,57.253649,188.831223,1.954628
QOSVOJ,0.163851,0.000367,83.677528,265.945501,2.208918
QOZNOL,0.366472,0.000899,165.090421,650.963832,2.206058
QUHWAT,0.339221,0.000766,75.794219,226.786032,2.177240
QUHWAT01,0.364343,0.000893,75.421871,232.775772,2.179148
QUHWAT02,0.321802,0.000857,84.727758,290.950944,2.192274
QUNYAA,0.118504,0.000117,51.017258,155.438191,1.992642
QUNYEE,0.269132,0.000536,68.402601,198.894781,2.168817
QUNYEE01,0.076595,0.000054,38.147250,117.520343,1.963125
RAKZIM,0.045953,0.000014,4.408794,15.663321,2.208354
RAKZIM01,0.351810,0.001124,24.223007,68.260886,1.901036
RESWES,0.014295,0.000002,45.982216,112.114262,2.190418
RESWIW,0.143760,0.000149,49.082716,112.857191,2.180627
RESWIW01,0.127279,0.000132,25.652021,63.035062,2.088753
REWPOZ,0.167997,0.000188,150.905705,473.346775,2.167499
REWPUF,0.139840,0.000130,155.882661,490.935862,2.169960
REWPUF02,0.200414,0.000356,85.366945,285.022118,1.944418
RIZSOI,0.291292,0.000700,44.351883,163.947703,1.984894
RONPIT26,0.343853,0.001011,80.668113,206.736434,2.164001
RONPIT34,0.105520,0.000086,45.513593,134.090144,1.970546
RONPIT39,0.061910,0.000032,48.485276,144.198433,1.953085
RONPIT41,0.487174,0.001603,89.280765,267.133587,2.173612
RUCJEF,0.096780,0.000075,22.409917,53.218161,1.970898
SIXJUE,0.000441,0.000000,53.561111,173.933433,1.926866
SOJKUY,0.161847,0.000194,148.547347,478.862826,2.173552
TEKHAU,0.409740,0.001267,77.306342,245.437208,2.208307
TEKHEY,0.586281,0.002423,84.352342,234.992626,2.222245
TEKHIC,0.443183,0.002019,83.036287,214.699300,2.189994
TEKHOI,0.406950,0.001191,92.223665,253.254416,2.178661
TEKHUO,0.366027,0.000939,92.923275,217.688683,2.164902
TESLUY,0.310579,0.000804,83.661329,287.453994,1.969828
TESMAF,0.258699,0.000544,123.227658,438.859146,2.096346
TETXAR,0.253258,0.000548,84.465253,279.714795,1.966235
TIHTAF,0.128084,0.000174,61.171581,189.351824,2.001287
TIHTAF01,0.185159,0.000286,103.977632,305.133007,2.187330
TISWIC,0.482294,0.001648,40.246299,155.177829,2.158664
TISWIC01,0.435478,0.001387,38.525631,150.302933,2.110089
TULHEQ,0.272058,0.000604,89.283158,290.780443,1.978304
TULHIU,0.039946,0.000013,163.664076,516.356216,2.163765
TUNBIN,0.018089,0.000003,10.018446,28.609658,2.189729
UCIGUJ,0.661704,0.002931,155.201601,527.911040,2.192497
UFIPIJ,0.103278,0.000092,53.751795,152.151796,1.973004
UFIPIJ01,0.312192,0.000729,79.010843,238.372394,2.169460
UJEDOC,0.102526,0.000092,102.387182,328.292159,1.958428
UJEDOC01,0.124657,0.000103,159.715812,497.715831,2.172991
ULAHIY,0.000165,0.000000,30.450791,72.490970,2.203844
ULODIJ,0.177558,0.000188,84.095980,288.852260,2.200703
ULODIJ01,0.071830,0.000036,63.865146,211.704051,2.046033
ULODUV,0.170073,0.000214,90.089732,287.250252,2.203814
ULOFAD,0.166182,0.000211,89.480084,287.162290,2.207318
ULOFEH,0.145200,0.000161,89.633404,287.529826,2.204191
UZAXUQ,0.282592,0.000564,83.294289,286.098879,2.158331
UZELAN,0.447883,0.001945,104.228680,246.345669,2.174235
VASYOF,0.062041,0.000029,101.060096,438.554579,2.156722
VASYUL,0.198954,0.000316,50.183887,158.582788,1.979522
VASYUL01,0.063706,0.000029,79.039112,275.183710,2.143497
VASZEW,0.136739,0.000154,59.577211,183.733220,1.965197
VASZEW01,0.070362,0.000042,77.736402,253.203649,2.067963
VEVQOE,0.226699,0.000381,130.945172,414.426356,2.150393
